Country,summer_participation,summer_gold,summer_silver,summer_bronze,winter_participation,winter_gold,winter_silver,winter_bronze,total_medals
United States,27,1022,795,705,23,105,110,90,2827
Soviet Union,9,395,319,296,9,78,57,59,1204
Great Britain,28,263,295,291,23,11,4,16,880
Germany,16,191,194,230,12,92,88,60,855
France,28,212,241,263,23,36,35,53,840
Italy,27,206,178,193,23,40,36,48,701
Sweden,27,145,170,179,23,57,46,55,652
China,10,224,167,155,11,13,28,21,608
Russia,6,149,124,153,6,47,38,35,546
Norway,25,56,49,47,23,132,125,111,520
East Germany,5,153,129,127,6,39,36,35,519
Australia,26,147,163,187,19,5,5,5,512
Canada,26,64,102,136,23,73,64,62,501
Hungary,26,175,147,169,23,1,2,4,498
Japan,22,142,135,162,21,14,22,22,497
Finland,25,101,85,117,23,43,63,61,470
Netherlands,26,85,92,108,21,45,44,41,415
Switzerland,28,50,75,67,23,55,46,52,345
South Korea,17,90,87,90,18,31,25,14,337
Austria,27,18,33,36,23,64,81,87,319
Romania,21,89,95,122,21,0,0,1,307
Poland,21,68,83,133,23,7,7,8,306
West Germany,5,56,67,81,6,11,15,13,243
Cuba,20,78,68,79,0,0,0,0,225
Bulgaria,20,51,87,80,20,1,2,3,224
Denmark,27,45,74,75,14,0,1,0,195
Czechoslovakia,16,49,49,45,16,2,8,15,168
Belgium,26,40,53,55,21,1,2,3,154
Spain,23,45,64,41,20,1,0,3,154
United Team of Germany,3,28,54,36,3,8,6,5,137
Unified Team,1,45,38,29,1,9,6,8,135
Ukraine,6,35,30,56,7,3,1,4,129
Brazil,22,30,36,62,8,0,0,0,128
New Zealand,23,46,27,44,16,0,1,2,120
Greece,28,33,43,40,19,0,0,0,116
Kenya,14,31,38,33,4,0,0,0,102
Belarus,6,12,27,39,7,8,5,5,96
Yugoslavia,18,28,31,31,16,0,3,1,94
Turkey,22,39,24,28,17,0,0,0,91
Czech Republic,6,15,17,24,7,9,11,11,87
South Africa,19,26,31,29,7,0,0,0,86
Jamaica,17,22,35,20,8,0,0,0,77
Argentina,24,21,25,28,19,0,0,0,74
Kazakhstan,6,15,20,27,7,1,3,4,70
Iran,16,19,22,28,11,0,0,0,69
Mexico,23,13,24,32,9,0,0,0,69
North Korea,10,16,16,22,9,0,1,1,56
Ethiopia,13,22,11,20,2,0,0,0,53
Croatia,7,11,10,12,8,4,6,1,44
Azerbaijan,6,7,11,25,6,0,0,0,43
Estonia,12,9,9,16,10,4,2,1,41
Slovenia,7,5,8,10,8,2,5,10,40
Slovakia,6,9,12,7,7,3,4,1,36
Georgia,6,8,8,17,7,0,0,0,33
Thailand,16,9,8,16,4,0,0,0,33
Indonesia,15,7,13,12,0,0,0,0,32
Egypt,22,7,10,15,1,0,0,0,32
Uzbekistan,6,8,6,17,7,1,0,0,32
Ireland,21,9,10,12,7,0,0,0,31
India,24,9,7,12,10,0,0,0,28
Colombia,19,5,9,14,2,0,0,0,28
Latvia,11,3,11,5,11,0,4,4,27
Mongolia,13,2,10,14,14,0,0,0,26
Nigeria,16,3,10,12,1,0,0,0,25
Lithuania,9,6,7,12,9,0,0,0,25
Chinese Taipei,14,5,7,12,12,0,0,0,24
Portugal,24,4,8,12,8,0,0,0,24
Morocco,14,6,5,12,7,0,0,0,23
Trinidad and Tobago,17,2,6,11,3,0,0,0,19
Algeria,13,5,4,8,3,0,0,0,17
Olympic Athletes from Russia,0,0,0,0,1,2,6,9,17
Mixed team,3,8,5,4,0,0,0,0,17
Venezuela,18,2,3,10,4,0,0,0,15
Serbia,4,3,6,6,3,0,0,0,15
Bahamas,16,6,2,6,0,0,0,0,14
Armenia,6,2,6,6,7,0,0,0,14
Tunisia,14,4,2,7,0,0,0,0,13
Chile,23,2,7,4,17,0,0,0,13
Australasia,2,3,4,5,0,0,0,0,12
Malaysia,13,0,7,4,1,0,0,0,11
Philippines,21,0,3,7,5,0,0,0,10
Uruguay,21,2,2,6,1,0,0,0,10
Pakistan,17,3,3,4,3,0,0,0,10
Liechtenstein,17,0,0,0,19,2,2,6,10
Israel,16,1,1,7,7,0,0,0,9
Puerto Rico,18,1,2,6,7,0,0,0,9
Russian Empire,3,1,4,3,0,0,0,0,8
Zimbabwe,13,3,4,1,1,0,0,0,8
Uganda,15,2,3,2,0,0,0,0,7
Dominican Republic,14,3,2,2,0,0,0,0,7
Cameroon,14,3,1,2,1,0,0,0,6
Singapore,16,1,2,2,1,0,0,0,5
Qatar,9,0,1,4,0,0,0,0,5
Moldova,6,0,2,3,7,0,0,0,5
Costa Rica,15,1,1,2,6,0,0,0,4
Peru,18,1,3,0,2,0,0,0,4
Tajikistan,6,1,1,2,4,0,0,0,4
Bohemia,3,0,1,3,0,0,0,0,4
Vietnam,15,1,3,0,0,0,0,0,4
Iceland,20,0,2,2,18,0,0,0,4
Ghana,14,0,1,3,2,0,0,0,4
Kyrgyzstan,6,0,1,3,7,0,0,0,4
Luxembourg,23,1,1,0,9,0,2,0,4
Lebanon,17,0,2,2,17,0,0,0,4
Namibia,7,0,4,0,0,0,0,0,4
Saudi Arabia,11,0,1,2,0,0,0,0,3
Independent Olympic Participants,1,0,1,2,0,0,0,0,3
Panama,17,1,0,2,0,0,0,0,3
Hong Kong,16,1,1,1,5,0,0,0,3
Syria,13,1,1,1,0,0,0,0,3
Bahrain,9,2,1,0,0,0,0,0,3
Ivory Coast,13,1,1,1,0,0,0,0,3
Independent Olympic Athletes,3,1,0,1,0,0,0,0,2
Burundi,6,1,1,0,0,0,0,0,2
Tanzania,13,0,2,0,0,0,0,0,2
Suriname,12,1,0,1,0,0,0,0,2
British West Indies,1,0,0,2,0,0,0,0,2
Kuwait,12,0,0,2,0,0,0,0,2
Sri Lanka,17,0,2,0,0,0,0,0,2
Afghanistan,14,0,0,2,0,0,0,0,2
United Arab Emirates,9,1,0,1,0,0,0,0,2
Serbia and Montenegro,1,0,2,0,1,0,0,0,2
Haiti,15,0,1,1,0,0,0,0,2
Mozambique,10,1,0,1,0,0,0,0,2
Ecuador,14,1,1,0,1,0,0,0,2
Zambia,13,0,1,1,0,0,0,0,2
Niger,12,0,1,1,0,0,0,0,2
Grenada,9,1,1,0,0,0,0,0,2
Bermuda,18,0,0,1,8,0,0,0,1
Barbados,12,0,0,1,0,0,0,0,1
Botswana,10,0,1,0,0,0,0,0,1
Virgin Islands,12,0,1,0,7,0,0,0,1
Kosovo,1,1,0,0,1,0,0,0,1
Tonga,9,0,1,0,2,0,0,0,1
Paraguay,12,0,1,0,1,0,0,0,1
Iraq,14,0,0,1,0,0,0,0,1
Macedonia,6,0,0,1,6,0,0,0,1
Mauritius,9,0,0,1,0,0,0,0,1
Montenegro,3,0,1,0,3,0,0,0,1
Guyana,17,0,0,1,0,0,0,0,1
Netherlands Antilles,13,0,1,0,2,0,0,0,1
Guatemala,14,0,1,0,1,0,0,0,1
Gabon,10,0,1,0,0,0,0,0,1
Togo,10,0,0,1,2,0,0,0,1
Fiji,14,1,0,0,3,0,0,0,1
Eritrea,5,0,0,1,1,0,0,0,1
Samoa,9,0,1,0,0,0,0,0,1
Jordan,10,1,0,0,0,0,0,0,1
Djibouti,8,0,0,1,0,0,0,0,1
Cyprus,10,0,1,0,11,0,0,0,1
Sudan,12,0,1,0,0,0,0,0,1
Senegal,14,0,1,0,5,0,0,0,1
