,Country,summer_participation,summer_gold,summer_silver,summer_bronze,winter_participation,winter_gold,winter_silver,winter_bronze,summer_rank,winter_rank,Continent
0,Unified Team,1,45,38,29,1,9,6,8,368.0,71.0,
1,Soviet Union,9,395,319,296,9,78,57,59,358.6666666666667,68.88888888888889,
2,Germany,16,191,194,230,12,92,88,60,110.4375,65.33333333333333,Europe
3,Russia,6,149,124,153,6,47,38,35,211.66666666666666,64.0,
4,East Germany,5,153,129,127,6,39,36,35,255.8,56.333333333333336,
5,Norway,25,56,49,47,23,132,125,111,18.96,49.82608695652174,Europe
6,United States,27,1022,795,705,23,105,110,90,303.7037037037037,41.08695652173913,
7,Olympic Athletes from Russia,0,0,0,0,1,2,6,9,0.0,37.0,
8,Austria,27,18,33,36,23,64,81,87,8.333333333333334,28.26086956521739,Europe
9,Canada,26,64,102,136,23,73,64,62,29.307692307692307,26.91304347826087,North America
10,United Team of Germany,3,28,54,36,3,8,6,5,112.66666666666667,21.0,
11,Sweden,27,145,170,179,23,57,46,55,52.370370370370374,20.782608695652176,Europe
12,Switzerland,28,50,75,67,23,55,46,52,19.357142857142858,20.217391304347824,Europe
13,Finland,25,101,85,117,23,43,63,61,35.08,20.217391304347824,Europe
14,Netherlands,26,85,92,108,21,45,44,41,31.115384615384617,18.952380952380953,Europe
15,West Germany,5,56,67,81,6,11,15,13,112.4,18.833333333333332,
16,Italy,27,206,178,193,23,40,36,48,65.07407407407408,15.478260869565217,Europe
17,China,10,224,167,155,11,13,28,21,177.6,15.454545454545455,Asia
18,France,28,212,241,263,23,36,35,53,73.07142857142857,14.695652173913043,Europe
19,South Korea,17,90,87,90,18,31,25,14,47.11764705882353,13.555555555555555,
20,Czech Republic,6,15,17,24,7,9,11,11,25.0,12.714285714285714,
21,Belarus,6,12,27,39,7,8,5,5,30.0,8.571428571428571,Europe
22,Japan,22,142,135,162,21,14,22,22,58.04545454545455,7.523809523809524,Asia
23,Croatia,7,11,10,12,8,4,6,1,13.857142857142858,4.875,Europe
24,Slovenia,7,5,8,10,8,2,5,10,8.428571428571429,4.375,Europe
25,Slovakia,6,9,12,7,7,3,4,1,14.666666666666666,4.0,Europe
26,Great Britain,28,263,295,291,23,11,4,16,88.96428571428571,3.608695652173913,
27,Ukraine,6,35,30,56,7,3,1,4,53.5,3.142857142857143,Europe
28,Czechoslovakia,16,49,49,45,16,2,8,15,27.3125,3.0625,
29,Poland,21,68,83,133,23,7,7,8,34.38095238095238,2.782608695652174,Europe
30,Estonia,12,9,9,16,10,4,2,1,7.333333333333333,2.7,Europe
31,Kazakhstan,6,15,20,27,7,1,3,4,27.0,2.5714285714285716,Asia
32,Australia,26,147,163,187,19,5,5,5,54.26923076923077,2.3684210526315788,Oceania
33,Latvia,11,3,11,5,11,0,4,4,4.818181818181818,1.4545454545454546,Europe
34,Liechtenstein,17,0,0,0,19,2,2,6,0.0,1.1578947368421053,Europe
35,Uzbekistan,6,8,6,17,7,1,0,0,12.5,0.7142857142857143,Asia
36,Bulgaria,20,51,87,80,20,1,2,3,29.8,0.7,Europe
37,Luxembourg,23,1,1,0,9,0,2,0,0.34782608695652173,0.6666666666666666,Europe
38,Belgium,26,40,53,55,21,1,2,3,15.923076923076923,0.6666666666666666,Europe
39,Hungary,26,175,147,169,23,1,2,4,57.11538461538461,0.6521739130434783,Europe
40,Yugoslavia,18,28,31,31,16,0,3,1,14.666666666666666,0.625,
41,North Korea,10,16,16,22,9,0,1,1,15.0,0.4444444444444444,
42,Spain,23,45,64,41,20,1,0,3,19.91304347826087,0.4,Europe
43,New Zealand,23,46,27,44,16,0,1,2,15.434782608695652,0.3125,Oceania
44,Denmark,27,45,74,75,14,0,1,0,19.333333333333332,0.21428571428571427,Europe
45,Romania,21,89,95,122,21,0,0,1,40.57142857142857,0.047619047619047616,Europe
46,Philippines,21,0,3,7,5,0,0,0,0.7619047619047619,0.0,Asia
47,Fiji,14,1,0,0,3,0,0,0,0.35714285714285715,0.0,Oceania
48,Iceland,20,0,2,2,18,0,0,0,0.4,0.0,Europe
49,Singapore,16,1,2,2,1,0,0,0,0.8125,0.0,Asia
50,Panama,17,1,0,2,0,0,0,0,0.4117647058823529,0.0,North America
51,Ghana,14,0,1,3,2,0,0,0,0.42857142857142855,0.0,Africa
52,Saudi Arabia,11,0,1,2,0,0,0,0,0.45454545454545453,0.0,Asia
53,Tanzania,13,0,2,0,0,0,0,0,0.46153846153846156,0.0,Africa
54,Lebanon,17,0,2,2,17,0,0,0,0.47058823529411764,0.0,Asia
55,Suriname,12,1,0,1,0,0,0,0,0.5,0.0,South America
56,Israel,16,1,1,7,7,0,0,0,0.9375,0.0,Asia
57,Peru,18,1,3,0,2,0,0,0,0.7777777777777778,0.0,South America
58,Jordan,10,1,0,0,0,0,0,0,0.5,0.0,Asia
59,Vietnam,15,1,3,0,0,0,0,0,0.9333333333333333,0.0,Asia
60,Sri Lanka,17,0,2,0,0,0,0,0,0.35294117647058826,0.0,Asia
61,Hong Kong,16,1,1,1,5,0,0,0,0.5625,0.0,
62,Ecuador,14,1,1,0,1,0,0,0,0.5714285714285714,0.0,South America
63,Mozambique,10,1,0,1,0,0,0,0,0.6,0.0,Africa
64,Costa Rica,15,1,1,2,6,0,0,0,0.6666666666666666,0.0,North America
65,Grenada,9,1,1,0,0,0,0,0,0.8888888888888888,0.0,North America
66,United Arab Emirates,9,1,0,1,0,0,0,0,0.6666666666666666,0.0,Asia
67,Ivory Coast,13,1,1,1,0,0,0,0,0.6923076923076923,0.0,Africa
68,Syria,13,1,1,1,0,0,0,0,0.6923076923076923,0.0,Asia
69,Qatar,9,0,1,4,0,0,0,0,0.7777777777777778,0.0,Asia
70,Senegal,14,0,1,0,5,0,0,0,0.21428571428571427,0.0,Africa
71,Samoa,9,0,1,0,0,0,0,0,0.3333333333333333,0.0,Oceania
72,Tonga,9,0,1,0,2,0,0,0,0.3333333333333333,0.0,Oceania
73,Bermuda,18,0,0,1,8,0,0,0,0.05555555555555555,0.0,
74,Guyana,17,0,0,1,0,0,0,0,0.058823529411764705,0.0,South America
75,Iraq,14,0,0,1,0,0,0,0,0.07142857142857142,0.0,Asia
76,Barbados,12,0,0,1,0,0,0,0,0.08333333333333333,0.0,North America
77,Togo,10,0,0,1,2,0,0,0,0.1,0.0,Africa
78,Mauritius,9,0,0,1,0,0,0,0,0.1111111111111111,0.0,Africa
79,Djibouti,8,0,0,1,0,0,0,0,0.125,0.0,Africa
80,Afghanistan,14,0,0,2,0,0,0,0,0.14285714285714285,0.0,Asia
81,Kuwait,12,0,0,2,0,0,0,0,0.16666666666666666,0.0,Asia
82,Macedonia,6,0,0,1,6,0,0,0,0.16666666666666666,0.0,Europe
83,Eritrea,5,0,0,1,1,0,0,0,0.2,0.0,Africa
84,Guatemala,14,0,1,0,1,0,0,0,0.21428571428571427,0.0,North America
85,Kyrgyzstan,6,0,1,3,7,0,0,0,1.0,0.0,Asia
86,Netherlands Antilles,13,0,1,0,2,0,0,0,0.23076923076923078,0.0,
87,Sudan,12,0,1,0,0,0,0,0,0.25,0.0,Africa
88,Virgin Islands,12,0,1,0,7,0,0,0,0.25,0.0,
89,Paraguay,12,0,1,0,1,0,0,0,0.25,0.0,South America
90,Haiti,15,0,1,1,0,0,0,0,0.26666666666666666,0.0,North America
91,Botswana,10,0,1,0,0,0,0,0,0.3,0.0,Africa
92,Cyprus,10,0,1,0,11,0,0,0,0.3,0.0,Europe
93,Gabon,10,0,1,0,0,0,0,0,0.3,0.0,Africa
94,Zambia,13,0,1,1,0,0,0,0,0.3076923076923077,0.0,Africa
95,Niger,12,0,1,1,0,0,0,0,0.3333333333333333,0.0,Africa
96,Puerto Rico,18,1,2,6,7,0,0,0,0.9444444444444444,0.0,
97,Zimbabwe,13,3,4,1,1,0,0,0,2.1538461538461537,0.0,Africa
98,Montenegro,3,0,1,0,3,0,0,0,1.0,0.0,Europe
99,Iran,16,19,22,28,11,0,0,0,11.8125,0.0,Asia
100,Independent Olympic Participants,1,0,1,2,0,0,0,0,5.0,0.0,
101,Kosovo,1,1,0,0,1,0,0,0,5.0,0.0,
102,Thailand,16,9,8,16,4,0,0,0,5.3125,0.0,Asia
103,Armenia,6,2,6,6,7,0,0,0,5.666666666666667,0.0,Europe
104,Indonesia,15,7,13,12,0,0,0,0,5.733333333333333,0.0,Asia
105,Serbia and Montenegro,1,0,2,0,1,0,0,0,6.0,0.0,
106,Russian Empire,3,1,4,3,0,0,0,0,6.666666666666667,0.0,
107,Lithuania,9,6,7,12,9,0,0,0,7.0,0.0,Europe
108,Mexico,23,13,24,32,9,0,0,0,7.3478260869565215,0.0,North America
109,Argentina,24,21,25,28,19,0,0,0,8.666666666666666,0.0,South America
110,Serbia,4,3,6,6,3,0,0,0,9.75,0.0,Europe
111,Greece,28,33,43,40,19,0,0,0,11.928571428571429,0.0,Europe
112,Uruguay,21,2,2,6,1,0,0,0,1.0476190476190477,0.0,South America
113,Ethiopia,13,22,11,20,2,0,0,0,12.538461538461538,0.0,Africa
114,South Africa,19,26,31,29,7,0,0,0,13.263157894736842,0.0,Africa
115,Turkey,22,39,24,28,17,0,0,0,13.409090909090908,0.0,Asia
116,Georgia,6,8,8,17,7,0,0,0,13.5,0.0,Europe
117,Jamaica,17,22,35,20,8,0,0,0,13.823529411764707,0.0,North America
118,Brazil,22,30,36,62,8,0,0,0,14.545454545454545,0.0,South America
119,Azerbaijan,6,7,11,25,6,0,0,0,15.5,0.0,Europe
120,Australasia,2,3,4,5,0,0,0,0,16.0,0.0,
121,Mixed team,3,8,5,4,0,0,0,0,19.666666666666668,0.0,
122,Kenya,14,31,38,33,4,0,0,0,21.571428571428573,0.0,Africa
123,Cuba,20,78,68,79,0,0,0,0,33.65,0.0,North America
124,Mongolia,13,2,10,14,14,0,0,0,4.153846153846154,0.0,Asia
125,Ireland,21,9,10,12,7,0,0,0,4.142857142857143,0.0,Europe
126,Chinese Taipei,14,5,7,12,12,0,0,0,4.142857142857143,0.0,
127,Morocco,14,6,5,12,7,0,0,0,4.071428571428571,0.0,Africa
128,Burundi,6,1,1,0,0,0,0,0,1.3333333333333333,0.0,Africa
129,Uganda,15,2,3,2,0,0,0,0,1.4,0.0,Africa
130,Cameroon,14,3,1,2,1,0,0,0,1.4285714285714286,0.0,Africa
131,Bahrain,9,2,1,0,0,0,0,0,1.4444444444444444,0.0,Asia
132,Moldova,6,0,2,3,7,0,0,0,1.5,0.0,Europe
133,Chile,23,2,7,4,17,0,0,0,1.5217391304347827,0.0,South America
134,Venezuela,18,2,3,10,4,0,0,0,1.6111111111111112,0.0,South America
135,Dominican Republic,14,3,2,2,0,0,0,0,1.6428571428571428,0.0,North America
136,Pakistan,17,3,3,4,3,0,0,0,1.6470588235294117,0.0,Asia
137,Tajikistan,6,1,1,2,4,0,0,0,1.6666666666666667,0.0,Asia
138,Namibia,7,0,4,0,0,0,0,0,1.7142857142857142,0.0,Africa
139,Malaysia,13,0,7,4,1,0,0,0,1.9230769230769231,0.0,Asia
140,Independent Olympic Athletes,3,1,0,1,0,0,0,0,2.0,0.0,
